* Block Type = 96fast,,,,,,,,,,,,,,,,,
* Chemistry = TAQMAN,,,,,,,,,,,,,,,,,
* Experiment File Name = C:\Users\marke\Desktop\test.eds,,,,,,,,,,,,,,,,,
* Experiment Run End Time = 2010-06-22 17:11:51 PM PDT,,,,,,,,,,,,,,,,,
* Instrument Type = sds7500fast,,,,,,,,,,,,,,,,,
* Passive Reference = ROX,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[Results],,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments
A1,calibrator,ent,STANDARD,FAM,TAMRA,23.13,,,1.00E+05,,,FALSE,0.03,TRUE,3,20,
A2,calibrator,ent,STANDARD,FAM,TAMRA,23.17,,,1.00E+05,,,FALSE,0.03,TRUE,3,19,
A3,,ent,STANDARD,FAM,TAMRA,26.65,,,1.00E+04,,,FALSE,0.03,TRUE,3,23,
A4,,ent,STANDARD,FAM,TAMRA,26.77,,,1.00E+04,,,FALSE,0.03,TRUE,3,23,
A5,,ent,STANDARD,FAM,TAMRA,29.8,,,1.00E+03,,,FALSE,0.03,TRUE,3,26,
A6,,ent,STANDARD,FAM,TAMRA,29.78,,,1.00E+03,,,FALSE,0.03,TRUE,3,26,
A7,calibrator,sketa,STANDARD,FAM,TAMRA,21.94,,,1.00E+05,,,FALSE,0.03,TRUE,3,30,
A8,calibrator,sketa,STANDARD,FAM,TAMRA,21.7,,,1.00E+05,,,FALSE,0.03,TRUE,3,30,
A9,,sketa,UNKNOWN,FAM,TAMRA,25.13,,,1.00E+04,,,FALSE,0.03,TRUE,3,39,
A10,,sketa,UNKNOWN,FAM,TAMRA,25.24,,,1.00E+04,,,FALSE,0.03,TRUE,3,35,
A11,,sketa,UNKNOWN,FAM,TAMRA,28.63,,,1.00E+03,,,FALSE,0.03,TRUE,3,35,
A12,,sketa,NTC,FAM,TAMRA,28.55,,,1.00E+03,,,FALSE,0.03,TRUE,3,39,
B1,,ent,UNKNOWN,FAM,TAMRA,33.46,,,1.00E+02,,,FALSE,0.03,TRUE,3,39,
B2,,ent,UNKNOWN,FAM,TAMRA,33.22,,,1.00E+02,,,FALSE,0.03,TRUE,3,35,
B3,1,ent,UNKNOWN,FAM,TAMRA,39.05,,,1.95E+00,,,FALSE,0.03,TRUE,3,39,
B4,1,ent,UNKNOWN,FAM,TAMRA,37.08,,,7.52E+00,,,FALSE,0.03,TRUE,3,39,
B5,2,ent,UNKNOWN,FAM,TAMRA,36.66,,,9.98E+00,,,FALSE,0.03,TRUE,3,33,
B6,2,ent,UNKNOWN,FAM,TAMRA,36.56,,,1.07E+01,,,FALSE,0.03,TRUE,3,35,
B7,,sketa,UNKNOWN,FAM,TAMRA,31.93,,,1.00E+02,,,FALSE,0.03,TRUE,3,34,
B8,,sketa,UNKNOWN,FAM,TAMRA,31.96,,,1.00E+02,,,FALSE,0.03,TRUE,3,33,
B9,1,sketa,UNKNOWN,FAM,TAMRA,22.22,,,7.58E+04,,,FALSE,0.03,TRUE,3,28,
B10,1,sketa,UNKNOWN,FAM,TAMRA,22.12,,,8.12E+04,,,FALSE,0.03,TRUE,3,29,
B11,2,sketa,UNKNOWN,FAM,TAMRA,21.96,,,9.09E+04,,,FALSE,0.03,TRUE,3,20,
B12,2,sketa,UNKNOWN,FAM,TAMRA,21.99,,,8.90E+04,,,FALSE,0.03,TRUE,3,20,
C1,3,ent,UNKNOWN,FAM,TAMRA,N/A,,,N/A,,,FALSE,0.03,TRUE,3,39,
C2,3,ent,UNKNOWN,FAM,TAMRA,38.22,,,3.45E+00,,,FALSE,0.03,TRUE,3,34,
C3,4,ent,UNKNOWN,FAM,TAMRA,39.16,,,1.81E+00,,,FALSE,0.03,TRUE,3,35,
C4,4,ent,UNKNOWN,FAM,TAMRA,37.89,,,4.30E+00,,,FALSE,0.03,TRUE,3,32,
C5,5,ent,UNKNOWN,FAM,TAMRA,36.35,,,1.24E+01,,,FALSE,0.03,TRUE,3,25,
C6,5,ent,UNKNOWN,FAM,TAMRA,36.23,,,1.34E+01,,,FALSE,0.03,TRUE,3,25,
