File Name,20111110 plate 13 env mm MR-ls.pcrd,,,,,
Created By User,admin,,,,,
Notes,20111110 plate 13 env mm MR/LS,,,,,
ID,,,,,,
Run Started,11/10/2011 12:34:47 PM UTC -08:00,,,,,
Run Ended,11/10/2011 2:10:33 PM UTC -08:00,,,,,
Sample Vol,25,,,,,
Lid Temp,105,,,,,
Protocol File Name,Sipp_Entero1A.prcl,,,,,
Plate Setup File Name,LA rapid 2011 plate setup.pltd,,,,,
Base Serial Number,CC011698,,,,,
Optical Head Serial Number,785BR4301,,,,,
CFX Manager Version,2.1.1022.0523. ,,,,,
,,,,,,
Well group,All Wells,,,,,
Amplification step,4,,,,,
Melt step,,,,,,
,,,,,,
,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,ent,Std-1,calibrator,23.13,1.00E+05
A02,FAM,ent,Std-1,calibrator,23.17,1.00E+05
A03,FAM,ent,Std-2,,26.65,1.00E+04
A04,FAM,ent,Std-2,,26.77,1.00E+04
A05,FAM,ent,Std-3,,29.8,1.00E+03
A06,FAM,ent,Std-3,,29.78,1.00E+03
A07,FAM,sketa,Std-5,calibrator,21.94,1.00E+05
A08,FAM,sketa,Std-5,calibrator,21.7,1.00E+05
A09,FAM,sketa,Std-6,,25.13,1.00E+04
A10,FAM,sketa,Std-6,,25.24,1.00E+04
A11,FAM,sketa,Std-7,,28.63,1.00E+03
A12,FAM,sketa,Std-7,,28.55,1.00E+03
B01,FAM,ent,Std-4,,33.46,1.00E+02
B02,FAM,ent,Std-4,,33.22,1.00E+02
B03,FAM,ent,Unkn,1,39.05,1.95E+00
B04,FAM,ent,Unkn,1,37.08,7.52E+00
B05,FAM,ent,Unkn,2,36.66,9.98E+00
B06,FAM,ent,Unkn,2,36.56,1.07E+01
B07,FAM,sketa,Std-8,,31.93,1.00E+02
B08,FAM,sketa,Std-8,,31.96,1.00E+02
B09,FAM,sketa,Unkn,1,22.22,7.58E+04
B10,FAM,sketa,Unkn,1,22.12,8.12E+04
B11,FAM,sketa,Unkn,2,21.96,9.09E+04
B12,FAM,sketa,Unkn,2,21.99,8.90E+04
C01,FAM,ent,Unkn,3,N/A,N/A
C02,FAM,ent,Unkn,3,38.22,3.45E+00
C03,FAM,ent,Unkn,4,39.16,1.81E+00
C04,FAM,ent,Unkn,4,37.89,4.30E+00
C05,FAM,ent,Unkn,5,36.35,1.24E+01
C06,FAM,ent,Unkn,5,36.23,1.34E+01
C07,FAM,sketa,Unkn,3,22.12,8.14E+04
C08,FAM,sketa,Unkn,3,22.01,8.75E+04
C09,FAM,sketa,Unkn,4,22.11,8.17E+04
C10,FAM,sketa,Unkn,4,22.15,7.99E+04
C11,FAM,sketa,Unkn,5,22.07,8.41E+04
C12,FAM,sketa,Unkn,5,22.16,7.91E+04
D01,FAM,ent,Unkn,6,N/A,N/A
D02,FAM,ent,Unkn,6,N/A,N/A
D03,FAM,ent,Unkn,7,N/A,N/A
D04,FAM,ent,Unkn,7,36.29,1.29E+01
D05,FAM,ent,Unkn,8,N/A,N/A
